Date,Close,High,Low,Open,Volume
2005-05-02,211.5751953125,213.19027313931298,198.65457269799617,200.26965052480915,1047550000
2005-05-09,211.5751953125,211.5751953125,205.1148840052481,211.5751953125,826630000
2005-05-16,211.5751953125,213.19027313931298,208.34503965887404,209.96011748568702,599390000
2005-05-23,211.5751953125,214.80535096612596,209.96011748568702,209.96011748568702,553080000
2005-05-30,230.95611572265625,232.5711934549825,211.57518293474104,211.57518293474104,1421480000
2005-06-06,226.11094665527344,230.95618122645786,222.88079027448381,229.34110303606306,614690000
2005-06-13,237.4164581298828,237.4164581298828,224.4958345581885,224.4958345581885,1247110000
2005-06-20,234.1863555908203,239.03159053407867,230.9561989619814,237.41651221965924,681900000
2005-06-27,235.80142211914062,235.80142211914065,229.34110918436966,232.57126565175514,593830000
2005-07-04,227.7259521484375,234.18626284768396,222.88071912400267,234.18626284768396,1037230000
2005-07-11,227.7259521484375,229.34102982324913,226.1108744736259,227.7259521484375,563210000
2005-07-18,226.11094665527344,232.57125941685268,224.49586846487864,229.34110303606306,805120000
2005-07-25,241.23779296875,242.8901066192209,231.32391106592468,231.32391106592468,647220000
2005-08-01,242.8900146484375,252.8038927973533,239.5853885987989,241.2377016236182,761450000
2005-08-08,231.3239288330078,241.23781149727958,231.3239288330078,241.23781149727958,825940000
2005-08-15,219.7576446533203,231.32383647717927,216.45301841793204,231.32383647717927,2539910000
2005-08-22,224.7146759033203,231.32393107694736,214.8007931428797,218.10542072969324,1441590000
2005-08-29,229.67152404785156,231.32383717049797,204.88682720815535,223.06227155726592,1369070000
2005-09-05,236.28079223632812,237.93310546875,223.06228637695312,228.01922607421875,1396240000
2005-09-12,226.36683654785156,241.23765062763744,224.7145238723198,236.28071260104215,1795730000
2005-09-19,223.06231689453125,231.32388418692128,219.7576899775752,231.32388418692128,1563940000
2005-09-26,228.01918029785156,231.3238060992697,216.45298999288806,223.06224159572434,1017740000
2005-10-03,226.36683654785156,237.93302527657391,223.06221119678804,228.01914922338332,1238940000
2005-10-10,226.27183532714844,232.9761860035084,222.91965998896845,232.9761860035084,791080000
2005-10-17,222.91958618164062,226.27176040993595,217.8913248391976,226.27176040993595,942380000
2005-10-24,216.2152862548828,227.9478986873183,212.86311127418693,222.9196362162745,1322410000
2005-10-31,209.51092529296875,217.8913623046875,202.80657568359373,216.21527490234374,714360000
2005-11-07,201.13052368164062,209.51096216837564,196.1022605895996,209.51096216837564,1459730000
2005-11-14,212.86309814453125,214.53918553149606,196.10222427488313,202.80657382274237,1619990000
2005-11-21,221.2435302734375,222.91961762399384,209.5109188195431,211.18700617009944,1935460000
2005-11-28,224.59567260742188,224.59567260742188,219.56741128039005,221.24349838940066,1762530000
2005-12-05,231.300048828125,239.68048537986868,222.91961227638134,224.5956995867301,2035750000
2005-12-12,227.94790649414062,234.65225668514475,226.27181894638957,231.3000815896427,1018990000
2005-12-19,226.27183532714844,229.6240106653284,222.91965998896845,227.94792299623842,472140000
2005-12-26,227.94790649414062,227.94790649414062,222.91964385088752,226.27181894638957,135300000
2006-01-02,241.3565673828125,248.0609164767795,224.59569464789496,227.94786919487845,1363870000
2006-01-09,241.3565673828125,244.708741929796,239.68048010932074,241.3565673828125,817320000
2006-01-16,243.03273010253906,246.38490569016028,234.652291133486,241.35664230872845,816320000
2006-01-23,244.70883178710938,244.70883178710938,238.00448023129815,241.35665600920376,314860000
2006-01-30,248.06092834472656,248.06092834472656,241.35657893000422,243.0326662836848,295760000
2006-02-06,244.70883178710938,249.73709545396778,241.35665600920376,248.06100756501496,428110000
2006-02-13,243.03273010253906,246.38490569016028,239.68055451491782,243.03273010253906,394450000
