Date,Close,High,Low,Open,Volume
2004-06-08,99.0413589477539,100.4363076653279,97.6464102301799,97.6464102301799,499150000
2004-06-09,100.43632507324219,101.83127403259277,97.64642715454102,99.0413761138916,294290000
2004-06-10,100.43632507324219,100.43632507324219,99.0413761138916,100.43632507324219,165590000
2004-06-11,100.43632507324219,100.43632507324219,99.0413761138916,99.0413761138916,135830000
2004-06-14,99.0413589477539,100.4363076653279,97.6464102301799,100.4363076653279,158540000
2004-06-15,101.83128356933594,101.83128356933595,97.64643629936323,97.64643629936323,297620000
2004-06-16,100.43632507324219,101.83127403259277,99.0413761138916,101.83127403259277,104270000
2004-06-17,99.0413589477539,99.04135894775389,97.6464102301799,99.04135894775389,350150000
2004-06-18,99.0413589477539,99.04135894775389,97.6464102301799,97.6464102301799,263260000
2004-06-21,99.0413589477539,99.04135894775389,97.6464102301799,99.04135894775389,331870000
2004-06-22,99.0413589477539,100.4363076653279,99.04135894775389,99.04135894775389,56870000
2004-06-23,100.43632507324219,100.43632507324219,99.0413761138916,100.43632507324219,469190000
2004-06-24,100.43632507324219,100.43632507324219,99.0413761138916,100.43632507324219,191310000
2004-06-25,101.83128356933594,101.83128356933595,100.43633447934505,100.43633447934505,154310000
2004-06-28,101.83128356933594,101.83128356933595,100.43633447934505,101.83128356933595,260860000
2004-06-29,103.22621154785156,103.22621154785155,101.83126274315086,101.83126274315086,123060000
2004-06-30,104.62118530273438,104.62118530273438,101.83128702799479,103.22623616536458,291260000
2004-07-01,112.54700469970703,114.1321737799846,110.96183561942948,114.1321737799846,203090000
2004-07-02,114.13219451904297,114.13219451904297,112.54702515072293,112.54702515072293,490800000
2004-07-05,114.13219451904297,114.13219451904297,114.13219451904297,114.13219451904297,0
2004-07-06,118.88771057128906,118.88771057128908,114.13220214843751,115.71737162272136,826610000
2004-07-07,118.88771057128906,120.47288004557292,115.71737162272136,117.30254109700522,382570000
2004-07-08,118.88771057128906,120.47288004557292,117.30254109700522,118.88771057128908,284740000
2004-07-09,120.47286224365234,120.47286224365234,117.30252376355622,117.30252376355622,381140000
2004-07-12,120.47286224365234,123.64320072374846,118.88769300360428,120.47286224365234,478410000
2004-07-13,122.05803680419922,122.05803680419922,118.88769818590833,120.47286749505378,133420000
2004-07-14,118.88771057128906,120.47288004557292,117.30254109700522,120.47288004557292,243420000
2004-07-15,118.88771057128906,118.88771057128908,115.71737162272136,117.30254109700522,134890000
2004-07-16,120.47286224365234,120.47286224365234,117.30252376355622,117.30252376355622,140620000
2004-07-19,120.47286224365234,120.47286224365234,118.88769300360428,118.88769300360428,43940000
2004-07-20,120.47286224365234,120.47286224365234,118.88769300360428,118.88769300360428,168890000
2004-07-21,120.47286224365234,120.47286224365234,118.88769300360428,118.88769300360428,162420000
2004-07-22,120.47286224365234,120.47286224365234,118.88769300360428,118.88769300360428,61730000
2004-07-23,120.47286224365234,120.47286224365234,118.88769300360428,118.88769300360428,15670000
2004-07-26,118.88771057128906,118.88771057128908,115.71737162272136,118.88771057128908,517650000
2004-07-27,118.88771057128906,118.88771057128908,115.71737162272136,117.30254109700522,254000000
2004-07-28,118.88771057128906,118.88771057128908,117.30254109700522,118.88771057128908,172520000
2004-07-29,118.88771057128906,118.88771057128908,117.30254109700522,118.88771057128908,57950000
2004-07-30,118.88771057128906,118.88771057128908,117.30254109700522,118.88771057128908,224110000
2004-08-02,117.3025131225586,118.8876822188094,117.30251312255861,117.30251312255861,27010000
2004-08-03,118.88771057128906,120.47288004557292,117.30254109700522,117.30254109700522,326000000
2004-08-04,120.47286224365234,120.47286224365234,118.88769300360428,118.88769300360428,254660000
2004-08-05,120.47286224365234,120.47286224365234,118.88769300360428,118.88769300360428,133330000
2004-08-06,118.88771057128906,120.47288004557292,118.88771057128908,118.88771057128908,126340000
2004-08-09,115.71736907958984,117.30253851903629,114.13219964014341,117.30253851903629,364660000
2004-08-10,115.71736907958984,115.71736907958986,115.71736907958986,115.71736907958986,108000000
2004-08-11,117.3025131225586,117.30251312255861,117.30251312255861,117.30251312255861,144040000
